,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,yelp_latitude,yelp_longitude
0,XI3iNUgChOfJk5ppjKVEQQ,barroco-montréal,Barroco,https://s3-media1.fl.yelpcdn.com/bphoto/zhCqnODaNtIUAxhkwC6bVw/o.jpg,False,https://www.yelp.com/biz/barroco-montr%C3%A9al?adjust_creative=j7IPtiYgrg5JA8sPKIjgcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j7IPtiYgrg5JA8sPKIjgcg,297.0,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'french', 'title': 'French'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 45.50138, 'longitude': -73.55592}",[],$$$,"{'address1': '312 Rue Saint-Paul O', 'address2': '', 'address3': '', 'city': 'Montreal', 'zip_code': 'H2Y 2A3', 'country': 'CA', 'state': 'QC', 'display_address': ['312 Rue Saint-Paul O', 'Montreal, QC H2Y 2A3', 'Canada']}",+15145445800,+1 514-544-5800,248.53195689508408,45.5008764952487,-73.55900555849075
1,FRuuIDOd21pTJHvEGIt1Gg,holder-montréal-2,Holder,https://s3-media2.fl.yelpcdn.com/bphoto/D3rim-U2WyDF0rxGkNdUWg/o.jpg,False,https://www.yelp.com/biz/holder-montr%C3%A9al-2?adjust_creative=j7IPtiYgrg5JA8sPKIjgcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j7IPtiYgrg5JA8sPKIjgcg,370.0,"[{'alias': 'french', 'title': 'French'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 45.50047, 'longitude': -73.55734}",[],$$$,"{'address1': '407 Rue McGill', 'address2': '', 'address3': '', 'city': 'Montreal', 'zip_code': 'H2Y 2G3', 'country': 'CA', 'state': 'QC', 'display_address': ['407 Rue McGill', 'Montreal, QC H2Y 2G3', 'Canada']}",+15148490333,+1 514-849-0333,131.49451553133102,45.5008764952487,-73.55900555849075
2,uH4-Esv5-b31q2y89AqyAw,place-carmin-montréal,Place Carmin,https://s3-media2.fl.yelpcdn.com/bphoto/nrOtTWHT4BSwbRsTItv_Ww/o.jpg,False,https://www.yelp.com/biz/place-carmin-montr%C3%A9al?adjust_creative=j7IPtiYgrg5JA8sPKIjgcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j7IPtiYgrg5JA8sPKIjgcg,29.0,"[{'alias': 'french', 'title': 'French'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",5.0,"{'latitude': 45.49820816147015, 'longitude': -73.5576066104322}",[],,"{'address1': '740 Rue William', 'address2': '', 'address3': None, 'city': 'Montreal', 'zip_code': 'H3C 1P1', 'country': 'CA', 'state': 'QC', 'display_address': ['740 Rue William', 'Montreal, QC H3C 1P1', 'Canada']}",+15144390740,+1 514-439-0740,316.10378723600553,45.5008764952487,-73.55900555849075
3,t3Rr8xk_9dSdoZm8sfwCXw,pub-saint-pierre-montréal,Pub Saint Pierre,https://s3-media2.fl.yelpcdn.com/bphoto/pSyKAQ-ywzZ0rtQ7c4oOlA/o.jpg,False,https://www.yelp.com/biz/pub-saint-pierre-montr%C3%A9al?adjust_creative=j7IPtiYgrg5JA8sPKIjgcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j7IPtiYgrg5JA8sPKIjgcg,101.0,"[{'alias': 'pubs', 'title': 'Pubs'}]",4.5,"{'latitude': 45.50129, 'longitude': -73.55669}",[],$$,"{'address1': '410 Rue Saint-Pierre', 'address2': None, 'address3': '', 'city': 'Montreal', 'zip_code': 'H2Y 2M7', 'country': 'CA', 'state': 'QC', 'display_address': ['410 Rue Saint-Pierre', 'Montreal, QC H2Y 2M7', 'Canada']}",+15149855204,+1 514-985-5204,188.12767585950107,45.5008764952487,-73.55900555849075
4,8xCiibfgqy-8xpCWEaguqg,the-keg-steakhouse-bar-montréal-8,The Keg Steakhouse + Bar,https://s3-media4.fl.yelpcdn.com/bphoto/GtlIJSxnv-1VdvrqtPjIdQ/o.jpg,False,https://www.yelp.com/biz/the-keg-steakhouse-bar-montr%C3%A9al-8?adjust_creative=j7IPtiYgrg5JA8sPKIjgcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j7IPtiYgrg5JA8sPKIjgcg,310.0,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,"{'latitude': 45.5007523, 'longitude': -73.5694969}",[],$$$,"{'address1': '5 Place Ville Marie', 'address2': '', 'address3': '', 'city': 'Montreal', 'zip_code': 'H3B 2G2', 'country': 'CA', 'state': 'QC', 'display_address': ['5 Place Ville Marie', 'Montreal, QC H3B 2G2', 'Canada']}",+15148681999,+1 514-868-1999,817.7733763429285,45.5008764952487,-73.55900555849075
5,ii9kqE9s4456Jn9asz-BPQ,bevo-bar-pizzeria-montréal,BEVO Bar + Pizzeria,https://s3-media1.fl.yelpcdn.com/bphoto/X70_yH610KuHRtYGGobCFw/o.jpg,False,https://www.yelp.com/biz/bevo-bar-pizzeria-montr%C3%A9al?adjust_creative=j7IPtiYgrg5JA8sPKIjgcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j7IPtiYgrg5JA8sPKIjgcg,388.0,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.0,"{'latitude': 45.50696, 'longitude': -73.55324}",[],$$,"{'address1': '410 Rue Saint Vincent', 'address2': '', 'address3': '', 'city': 'Montreal', 'zip_code': 'H2Y 3A6', 'country': 'CA', 'state': 'QC', 'display_address': ['410 Rue Saint Vincent', 'Montreal, QC H2Y 3A6', 'Canada']}",+15148615039,+1 514-861-5039,817.2476227984101,45.5008764952487,-73.55900555849075
6,E-HDevNTu_UIKIx8MA_RMA,nyks-montréal-3,NYK'S,https://s3-media3.fl.yelpcdn.com/bphoto/2AtcEO13DE9ujsJQQplx0w/o.jpg,False,https://www.yelp.com/biz/nyks-montr%C3%A9al-3?adjust_creative=j7IPtiYgrg5JA8sPKIjgcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j7IPtiYgrg5JA8sPKIjgcg,185.0,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",4.0,"{'latitude': 45.5060324, 'longitude': -73.566685}",[],$$,"{'address1': '1250 Rue de Bleury', 'address2': '', 'address3': '', 'city': 'Montreal', 'zip_code': 'H3B 2W4', 'country': 'CA', 'state': 'QC', 'display_address': ['1250 Rue de Bleury', 'Montreal, QC H3B 2W4', 'Canada']}",+15148661787,+1 514-866-1787,828.771294368911,45.5008764952487,-73.55900555849075
7,agYLB665pM7rYjHveAlK8Q,wolf-and-workman-montréal-2,Wolf & Workman,https://s3-media1.fl.yelpcdn.com/bphoto/mwbuwHDog1Va0VFg2sFSjg/o.jpg,False,https://www.yelp.com/biz/wolf-and-workman-montr%C3%A9al-2?adjust_creative=j7IPtiYgrg5JA8sPKIjgcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j7IPtiYgrg5JA8sPKIjgcg,114.0,"[{'alias': 'pubs', 'title': 'Pubs'}]",4.5,"{'latitude': 45.5037576, 'longitude': -73.55491567062386}",[],$$,"{'address1': '139 Rue Saint-Paul O', 'address2': '', 'address3': None, 'city': 'Montreal', 'zip_code': 'H2Y 1Z3', 'country': 'CA', 'state': 'QC', 'display_address': ['139 Rue Saint-Paul O', 'Montreal, QC H2Y 1Z3', 'Canada']}",+15147371787,+1 514-737-1787,451.91782634077964,45.5008764952487,-73.55900555849075
8,9KeJfn7-6DFfUFoZLu_DNQ,escondite-montréal,Escondite,https://s3-media3.fl.yelpcdn.com/bphoto/up5ld76e17xm5dAUmcOSXA/o.jpg,False,https://www.yelp.com/biz/escondite-montr%C3%A9al?adjust_creative=j7IPtiYgrg5JA8sPKIjgcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j7IPtiYgrg5JA8sPKIjgcg,247.0,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 45.502978, 'longitude': -73.567959}",[],$$,"{'address1': '1206 Avenue Union', 'address2': None, 'address3': '', 'city': 'Montreal', 'zip_code': 'H3B 3A7', 'country': 'CA', 'state': 'QC', 'display_address': ['1206 Avenue Union', 'Montreal, QC H3B 3A7', 'Canada']}",+15144199755,+1 514-419-9755,735.8723484650932,45.5008764952487,-73.55900555849075
9,pdyYkeJl64LvDgfxbNzNTw,mélisse-montréal,Mélisse,https://s3-media2.fl.yelpcdn.com/bphoto/O5oBQvDNdR_hVASAkk8dKA/o.jpg,False,https://www.yelp.com/biz/m%C3%A9lisse-montr%C3%A9al?adjust_creative=j7IPtiYgrg5JA8sPKIjgcg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j7IPtiYgrg5JA8sPKIjgcg,43.0,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'latitude': 45.498411, 'longitude': -73.557818}",[],$$,"{'address1': '719 Rue William', 'address2': '', 'address3': None, 'city': 'Montreal', 'zip_code': 'H3C 1N8', 'country': 'CA', 'state': 'QC', 'display_address': ['719 Rue William', 'Montreal, QC H3C 1N8', 'Canada']}",+15143793794,+1 514-379-3794,289.3526514652199,45.5008764952487,-73.55900555849075
